DataID,ClassID,MethodID,Line,InstructionIndex,EventType,ValueDesc,Attributes
332,1,8,59,21,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Integer,name=intValue,desc=()I,methodtype=instance"
333,1,8,59,21,CALL_RETURN,I,"type=I"
334,1,8,59,22,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=customClass/myMath,name=isPrime,desc=(I)Ljava/lang/Boolean;,methodtype=instance"
335,1,8,59,22,CALL_PARAM,I,"index=1,type=I"
336,1,8,59,22,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Boolean;"
337,1,8,59,23,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Boolean,name=booleanValue,desc=()Z,methodtype=instance"
338,1,8,59,23,CALL_RETURN,Z,"type=Z"
339,1,8,59,24,JUMP,V,"opcode=IFEQ,jumpto=31"
340,1,8,60,25,LABEL,I,"null"
341,1,8,60,26,LINE_NUMBER,V,"null"
342,1,8,60,27,LOCAL_LOAD,Ljava/lang/Object;,"varindex=2,name=prime,type=Ljava/util/List;"
343,1,8,60,28,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
344,1,8,60,29,CALL,Ljava/lang/Object;,"opcode=INVOKEINTERFACE,owner=java/util/List,name=add,desc=(Ljava/lang/Object;)Z,methodtype=instance"
345,1,8,60,29,CALL_PARAM,Ljava/lang/Object;,"index=1,type=Ljava/lang/Object;"
346,1,8,60,29,CALL_RETURN,Z,"type=Z"
347,1,8,57,31,LABEL,I,"null"
348,1,8,57,32,LINE_NUMBER,V,"null"
349,1,8,57,34,LOCAL_LOAD,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
350,1,8,57,35,CALL,Ljava/lang/Object;,"opcode=INVOKEVIRTUAL,owner=java/lang/Integer,name=intValue,desc=()I,methodtype=instance"
351,1,8,57,35,CALL_RETURN,I,"type=I"
352,1,8,57,38,CALL,V,"opcode=INVOKESTATIC,owner=java/lang/Integer,name=valueOf,desc=(I)Ljava/lang/Integer;,methodtype=static"
353,1,8,57,38,CALL_PARAM,I,"index=0,type=I"
354,1,8,57,38,CALL_RETURN,Ljava/lang/Object;,"type=Ljava/lang/Integer;"
355,1,8,57,39,LOCAL_STORE,Ljava/lang/Object;,"varindex=3,name=i,type=Ljava/lang/Integer;"
356,1,8,57,40,JUMP,V,"opcode=GOTO,jumpto=11"
357,1,8,63,41,LABEL,I,"null"
358,1,8,63,42,LINE_NUMBER,V,"null"
359,1,8,63,44,LOCAL_LOAD,Ljava/lang/Object;,"varindex=2,name=prime,type=Ljava/util/List;"
360,1,8,63,45,METHOD_NORMAL_EXIT,Ljava/lang/Object;,"null"
361,1,8,63,46,LABEL,I,"null"
362,1,8,63,47,CATCH_LABEL,I,"location=exceptional-exit"
363,1,8,63,47,CATCH,Ljava/lang/Object;,"location=exceptional-exit,type=Ljava/lang/Throwable;,start=0,end=47,handler=47"
364,1,8,63,47,METHOD_EXCEPTIONAL_EXIT,Ljava/lang/Object;,"location=exceptional-exit-rethrow"
